school_name,Latitude,Longitude
Rachel Carson High School for Coastal Studies,40.582533,-73.973132
High School of Sports Management,40.594291,-73.98577
Abraham Lincoln High School,40.581681,-73.967308
Kingsborough Early College School,40.594291,-73.98577
Edward R. Murrow High School,40.620525,-73.959285
John Dewey High School,40.589268,-73.981738
Life Academy High School for Film and Music,40.594291,-73.98577
Leaders High School,40.594291,-73.98577
William E. Grady Career and Technical Education High School,40.582585,-73.963477
Brooklyn Studio Secondary School,40.604879,-73.994404
Liberation Diploma Plus,40.577208,-73.985953
Midwood High School,40.633237,-73.952929
James Madison High School,40.609912,-73.948512
Leon M. Goldstein High School for the Sciences,40.580894,-73.935952
Brooklyn College Academy,40.649404,-73.971736
Origins High School,40.594124,-73.937696
Professional Pathways High School,40.594124,-73.937696
Brooklyn Collegiate: A College Board School,40.674103,-73.913273
Frederick Douglass Academy VII High School,40.665878,-73.911705
Brooklyn Democracy Academy,40.656068,-73.907245
Eagle Academy for Young Men II,40.677805,-73.915843
Metropolitan Diploma Plus High School,40.656068,-73.907245
Teachers Preparatory High School,40.665878,-73.911705
International High School for Health Sciences,40.741122,-73.874721
Academy of Finance and Enterprise,40.745095,-73.936635
High School of Applied Communication,40.745095,-73.936635
Civic Leadership Academy,40.74373,-73.870642
Pan American International High School,40.74373,-73.870642
Bard High School Early College Queens,40.745095,-73.936635
Newtown High School,40.741122,-73.874721
Grover Cleveland High School,40.711033,-73.908814
Middle College High School at LaGuardia Community College,40.744412,-73.93364
International High School at LaGuardia Community College,40.744412,-73.93364
High School for Arts and Business,40.737427,-73.853178
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",40.742839,-73.936782
Maspeth High School,40.729939,-73.887482
Queens Technical High School,40.742205,-73.928219
Aviation Career & Technical Education High School,40.743509,-73.929076
Veritas Academy,40.765166,-73.82789
Queens High School for Language Studies,40.765166,-73.82789
"Queens School of Inquiry, The",40.724458,-73.810216
Flushing International High School,40.759844,-73.820548
East-West School of International Studies,40.749545,-73.822073
World Journalism Preparatory: A College Board School,40.765133,-73.790083
John Bowne High School,40.738139,-73.824944
Flushing High School,40.765166,-73.82789
Townsend Harris High School,40.73439,-73.821392
Queens Academy High School,40.765162,-73.8288
Robert F. Kennedy Community High School,40.725603,-73.810697
North Queens Community High School,40.720359,-73.819792
Business Technology Early College High School (BTECH),40.733066,-73.738756
Benjamin N. Cardozo High School,40.752333,-73.75599
Francis Lewis High School,40.740724,-73.79283
Martin Van Buren High School,40.733066,-73.738756
Bayside High School,40.771755,-73.780296
"Queens High School of Teaching, Liberal Arts and the Sciences",40.746088,-73.727535
Frederick Douglass Academy VI High School,40.60201,-73.762795
Channel View School for Research,40.586066,-73.822624
"Queens High School for Information, Research, and Technology",40.60201,-73.762795
Robert H. Goddard High School of Communication Arts and Technology,40.67124,-73.845141
Academy of Medical Technology: A College Board School,40.60201,-73.762795
Epic High School - South,40.675771,-73.816938
Scholars' Academy,40.584109,-73.825711
Rockaway Park High School for Environmental Sustainability,40.586066,-73.822624
Epic High School - North,40.693006,-73.829407
Rockaway Collegiate High School,40.586066,-73.822624
August Martin High School,40.675633,-73.783342
Richmond Hill High School,40.695888,-73.833681
John Adams High School,40.679639,-73.837298
"High School for Construction Trades, Engineering and Architecture",40.689591,-73.840717
Metropolitan Expeditionary Learning School,40.711367,-73.856698
York Early College Academy,40.69719,-73.787192
Queens Collegiate: A College Board School,40.713218,-73.797237
Hillside Arts & Letters Academy,40.713218,-73.797237
High School for Community Leadership,40.713218,-73.797237
Jamaica Gateway to the Sciences,40.713218,-73.797237
Forest Hills High School,40.729402,-73.845637
Hillcrest High School,40.709446,-73.80166
Thomas A. Edison Career and Technical Education High School,40.715389,-73.800369
Queens Gateway to Health Sciences Secondary School,40.718831,-73.806499
Queens Metropolitan High School,40.711367,-73.856698
Queens High School for the Sciences at York College,40.701049,-73.798151
High School for Law Enforcement and Public Safety,40.686208,-73.784144
"Young Women's Leadership School, Queens (TYWLS)",40.707527,-73.806412
Institute for Health Professions at Cambria Heights,40.697819,-73.745728
Queens Preparatory Academy,40.668235,-73.756839
Pathways College Preparatory School: A College Board School,40.70646,-73.753579
Excelsior Preparatory High School,40.668235,-73.756839
George Washington Carver High School for the Sciences,40.668235,-73.756839
Preparatory Academy for Writers: A College Board School,40.668235,-73.756839
Benjamin Franklin High School for Finance & Information Technology,40.697819,-73.745728
Cambria Heights Academy,40.711849,-73.771195
Eagle Academy for Young Men III,40.691712,-73.778923
"Mathematics, Science Research and Technology Magnet High School",40.697819,-73.745728
Humanities & Arts Magnet High School,40.697819,-73.745728
Energy Tech High School,40.757065,-73.932664
"Young Women's Leadership School, Astoria (TYWLS)",40.771215,-73.924591
Academy for Careers in Television and Film (ACTV),40.742956,-73.959196
William Cullen Bryant High School,40.75823,-73.910514
Long Island City High School,40.765826,-73.9328
Frank Sinatra School of the Arts High School,40.756534,-73.925121
Information Technology High School,40.748701,-73.94638
Newcomers High School,40.751356,-73.937445
Academy of American Studies,40.751331,-73.937434
Baccalaureate School for Global Education,40.755366,-73.927169
"Eagle Academy for Young Men of Staten Island, The",40.620347,-74.081643
CSI High School for International Studies,40.581315,-74.158589
Gaynor McCown Expeditionary Learning School,40.581315,-74.158589
"Michael J. Petrides School, The",40.608512,-74.102067
New Dorp High School,40.569393,-74.107737
Port Richmond High School,40.634573,-74.141818
Curtis High School,40.644735,-74.081222
Tottenville High School,40.528092,-74.192032
Susan E. Wagner High School,40.596803,-74.124227
Ralph R. McKee Career and Technical Education High School,40.642793,-74.07873
Staten Island Technical High School,40.567873,-74.115373
"Brooklyn School for Math and Research, The",40.697185,-73.91117
Academy for Excellence in Leadership,40.697185,-73.91117
EBC High School for Public Service - Bushwick,40.694507,-73.929107
"Brooklyn School for Social Justice, The",40.697185,-73.91117
"Academy of Urban Planning and Engineering, The",40.697185,-73.91117
All City Leadership Secondary School,40.69737,-73.913171
Bushwick Leaders High School for Academic Excellence,40.695056,-73.92814
