name,Latitude,Longitude
I.S. 010 Horace Greeley,40.759363,-73.912902
P.S./I.S. 78Q,40.744753,-73.957971
P.S. 122 Mamie Fay,40.780347,-73.916655
Albert Shanker School for Visual and Performing Arts,40.766264,-73.930709
P.S. 127 Aerospace Science Magnet School,40.764646,-73.871641
I.S. 141 The Steinway,40.775589,-73.90509
I.S. 145 Joseph Pulitzer,40.754661,-73.887112
I.S. 204 Oliver W. Holmes,40.757065,-73.932664
I.S. 227 Louis Armstrong,40.758408,-73.874472
I.S. 230,40.752866,-73.893193
Academy for New Americans,40.766794,-73.9226
"Young Women's Leadership School, Astoria",40.771215,-73.924591
Hunters Point Community Middle School,40.742956,-73.959196
The 30th Avenue School,40.768985,-73.922428
Baccalaureate School for Global Education,40.755366,-73.927169
I.S. R002 George L. Egbert,40.576725,-74.100726
Marsh Avenue School for Expeditionary Learning,40.581315,-74.158589
I.S. 007 Elias Bernstein,40.523757,-74.185941
I.S. 024 Myra S. Barnes,40.546081,-74.14584
I.S. 027 Anning S. Prall,40.628128,-74.117062
The Eagle Academy for Young Men of Staten Island,40.620347,-74.081643
I.S. 072 Rocco Laurie,40.593005,-74.158988
I.S. 034 Tottenville,40.508284,-74.243428
P.S. 048 William G. Wilcox,40.603484,-74.091237
I.S. 49 Berta A. Dreyfus,40.620347,-74.081643
I.S. 051 Edwin Markham,40.622997,-74.144257
I.S. 061 William A Morris,40.634009,-74.097826
I.S. 075 Frank D. Paulo,40.54438,-74.197897
The Michael J. Petrides School,40.608512,-74.102067
Staten Island School of Civic Leadership,40.620676,-74.164277
P.S./I.S. 045 Horace E. Greene,40.686746,-73.910693
J.H.S. 162 The Willoughby,40.707229,-73.919805
J.H.S. 291 Roland Hayes,40.695362,-73.915142
I.S. 347 School of Humanities,40.70069,-73.927481
"I.S. 349 Math, Science & Tech.",40.70069,-73.927481
J.H.S. 383 Philippa Schuyler,40.697781,-73.919777
P.S. /I.S. 384 Frances E. Carter,40.690353,-73.904803
Evergreen Middle School for Urban Exploration,40.688387,-73.910276
